Entomology is the science that studies?,EASY,BEHAVIOR  OF  HUMAN  BEINGS,INSECTS,THE  ORIGIN  AND  HISTORY  OF TECHNICAL  AND  SCIENTIFIC  TERMS,THE  FORMATION  OF  ROCKS,INSECTS 
For which of the following disciplines is Nobel Prize awarded?,EASY,PHYSICS  AND  CHEMISTRY,PHYSIOLOGY  OR  MEDICINE,LITERATURE,PEACE  AND  ECONOMICS,ALL  OF  THE  ABOVE,ALL  OF  THE  ABOVE 
Fastest shorthand writer was?,EASY,DR. G. D. BIST,J.R.D. TATA,J.M. TAGORE,KHUDADA KHAN,Dr. G. D. BIST 
In which header file is the NULL macro defined?,EASY,STDIO.H,STDDEF.H,STDIO.H AND STDDEF.H,MATH.H,STDIO.H AND STDDEF.H
What are the types of linkages?,EASY,INTERNAL  AND  EXTERNAL,EXTERNAL,INTERNAL  AND  NONE,EXTERNAL  AND  NONE,INTERNAL,EXTERNAL,INTERNAL  AND  NONE 
Film and TV institute of India is located at?,EASY,PUNE(MAHARASHTRA),RAJKOT(GUJARAT),PIMPRI(MAHARASHTRA),PERAMBUR(TAMILNADU),PUNE(MAHARASHTRA)
Friction can be reduced by changing from?,EASY,SLIDING  TO  ROLLING,ROLLING  TO  SLIDING,POTENTIAL  ENERGY  TO  KINETIC  ENERGY,DYNAMIC  TO  STATIC,SLIDING  TO  ROLLING 
The ozone layer restricts?,EASY,VISIBLE  LIGHT,INFRARED  RADIATION,X-RAYS  AND  GAMMA   RAYS,ULTRAVIOLET  RADIATION,ULTRAVIOLET  RADIATION 
Who was the first 'black' actor to win Oscar?,EASY,MORGAN  FREEMAN,WESLEY  SNIPES,SIDNEY  POITIERS,EDDIE  MURPHY,SIDNEY  POITIERS 
Ecology deals with?,EASY,BIRDS,CELL  FORMATION,RELATION  BETWEEN  ORGANISMS  AND  THEIR  ENVIRONMENT,TISSUES,RELATION  BETWEEN  ORGANISMS  AND  THEIR  ENVIRONMENT 
India's maiden human space mission will be launched in 2023. What is its name?,MEDIUM,VAYU MITRA,VIKRAM,CHANDRAYAAN-3,GAGAN YAAN,GAGAN YAAN 
First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky,was conducted in,MEDIUM,1967,1968,1958,1922,1967
Each year World Red Cross and Red Crescent Day is celebrated on?,MEDIUM,May-08,May-18,Jun-08,Jun-18,May-08
Garampani sanctuary is located at?,MEDIUM,JUNAGARH,GUJARAT,DIPHU,ASSAM,KOHIMA,NAGALAND,GANGTOK,SIKKIM,DIPHU,ASSAM
Who is the writer of the book Nationality and Empire?,MEDIUM,C. R. DAS,BIPIN  CHANDRA  PAL,GOPAL  KRISHNA  GOKHALE,BAL GANGADHAR  TILAK,BIPIN  CHANDRA  PAL 
Gravity setting chambers are used in industries to remove,MEDIUM,SOX,NOX,SUSPENDED  PARTICULATE  MATTER,CO,SUSPENDED  PARTICULATE  MATTER 
The source of energy largely used in India is ?,MEDIUM,COAL,SOLAR  ENERGY,HYDRO  POWER,THERMAL  POWER,COAL 
Most commonly used material in making bulletproof jackets -,MEDIUM,FORMALIN,COAL-TAR,KEVLAR,FULLERENE,KEVLAR 
Which country successfully tested a device deemed as the artificial sun?,MEDIUM,USA,JAPAN,NORTH  KOREA,CHINA,CHINA 
Who among the following was the founder of Homeopathy?,MEDIUM,ROBERT  KOCH,FG HOPKINS,SELMA  WAKSMAN,SAMUEL  HAHNEMANN,SAMUEL  HAHNEMANN 
The government of India allows E- tourist VISA facility to the citizens of,HARD,117 COUNTRIES,136 COUNTRIES,156 COUNTRIES,174 COUNTRIES,156 COUNTRIES 
The symbol of the world wildlife fund is,HARD,POLAR,CHEETAH,WHITE  BEAR,RED  PANDA,RED  PANDA 
Indian's first and the only Jute Park located in which city?,HARD,PATNA,ARARIA,MADHEPURA,MARANGA,MARANGA 
Which company is known for publishing the Mario video game?,HARD,XBOX,NINTENDO,SEGA,ELECTRONIC  ARTS,NINTENDO 
In 1768,Captain James Cook set out to explore which ocean?,HARD,PACIFIC  OCEAN,ATLANTIC  OCEAN,INDIAN  OCEAN,ARCTIC  OCEAN,PACIFIC  OCEAN 
Who said,Man is perfect and education is the manifestation of the existing in man ?,HARD,GANDHI,FROBEL,VIVEKANANDA,JOHN  DEWEY,VIVEKANANDA 
The original name of Mahabharata is -,HARD,KATHASAHITTA AGAR,JAI  SAMHITA,RAJTARANGINI,BHARAT  KATHA,JAI  SAMHITA 
Who used the word Psychology for the first time as a study of the mind?,HARD,SIGMUND  FREUD,RENE  DESCARTES,MULLER,RUDOLF  GOECKEL,RUDOLF  GOECKEL 
Famous sculptures depicting art of love built some time in 950 AD - 1050 AD are,HARD,JAMA  MASJID  TEMPLE,SUN  TEMPLE,MAHABALIPURAM  TEMPLES,KHAJURAHO  TEMPLES,KHAJURAHO  TEMPLES 
A market situation when many firms sell similar but not identical products is termed as -,HARD,PERFECT  COMPETITION,IMPERFECT  COMPETITION,MONOPOLISTIC  COMPETITION,DIAPOLISTIC  COMPETITION ,MONOPOLISTIC  COMPETITION 
